Identifier,Country,Country code,Test type,Insecticide tested,Insecticide amount ,Synergist,Synergist Concentration,Intensity ,Year,1st admin level,WikiData accession,2nd admin level,3rd admin level,Site (Village or Locality),Latitude ,Longitude,Species tested,Total mosquitoes in all test replicates,Time at which mortality recorded,Calculated  average mortality adjusted for control  (%),Chemical type,Resistance status ,Resistance Intensity,Origin of tested mosquitoes,Data entry name,Data entry date,Additional notes
PMI000001,Ethiopia,ET,WHO,DDT,4.00%,None,NA,NA,2006,Oromia Region,Q202107,East Shewa Zone,,Adama,8.53996,39.27198,An. gambiae s.l.,NR,24 hr,78.8%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000002,Ethiopia,ET,WHO,Deltamethrin,0.05%,None,NA,NA,2006,Oromia Region,Q202107,East Shewa Zone,,Adama,8.53996,39.27198,An. gambiae s.l.,NR,24 hr,99.2%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000003,Ethiopia,ET,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2006,Oromia Region,Q202107,East Shewa Zone,,Adama,8.53996,39.27198,An. gambiae s.l.,NR,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000004,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2007,Zambezia Province,Q622803,Morrumbala District,,Morrumbala,-17.329,35.591,An. funestus s.l.,60,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000005,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2007,Zambezia Province,Q622803,Morrumbala District,,Morrumbala,-17.329,35.591,An. funestus s.l.,60,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000006,Mozambique,MZ,WHO,Deltamethrin,0.05%,None,NA,NA,2007,Zambezia Province,Q622803,Quelimane District,,Quelimane,-17.86354,36.89124,An. funestus s.l.,28,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000007,Mozambique,MZ,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2007,Zambezia Province,Q622803,Quelimane District,,Quelimane,-17.86354,36.89124,An. funestus s.l.,50,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000008,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2007,Zambezia Province,Q622803,Mocuba District,,Mocuba,-16.85,36.98333,An. funestus s.l.,90,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000009,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2007,Zambezia Province,Q622803,Mocuba District,,Mocuba,-16.85,36.98333,An. funestus s.l.,110,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000010,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2007,Zambezia Province,Q622803,Nicoadala District,,Nicoadala,-17.78264,37.00498,An. funestus s.l.,25,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
